y,x,z,k1,z2,z3,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100
2.581,-0.626,-0.626,1,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626,-0.626
3.426,0.184,0.184,1,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184,0.184
-1.661,-0.836,,0,-0.573874808,-1.136756013,-2.043297804,0.828232997,0.525697798,-0.171388029,-0.370057393,-0.131925123,-1.294011059,-0.873239825,-0.1420269,0.314769688,0.687584177,-1.459334272,0.346143061,-1.78757949,-0.375163849,-0.123626121,0.103535379,0.765620854,-1.440927544,0.308958215,-2.442923039,-0.837002924,-0.431785875,-0.829866091,0.459504003,-1.005865056,-0.015034656,-0.548723052,-0.34441515,-1.187565749,-0.218869912,-0.473248854,0.618811918,-0.358335869,-1.346760145,-0.196948818,0.473894964,0.035004282,-1.130488471,-0.332221477,0.026348101,0.173920275,0.838115569,-0.058700523,-2.056246223,2.034954322,-0.410459129,-0.467223958,-1.777636232,-1.217564642,-1.569432729,-0.145766399,-1.163914355,1.340235304,-0.013366319,-0.166715322,-0.507700536,-0.284275659,1.127144439,-1.948626763,-0.836428564,-2.182273065,-1.251905624,-0.327007701,-1.121997918,-0.522536899,-0.746317916,-0.454776498,-2.211931646,0.071741296,-0.811276187,-2.058735617,-0.161274304,-0.493334185,-2.066551828,-1.077844749,-1.416487366,-0.583108336,-1.68516438,0.141688808,-0.773273573,-0.98637417,-0.440839397,-1.531249542,-0.7481885,-0.214788888,-0.012199187,0.226779078,-1.818574761,0.419896202,-2.260022887,0.628685698,-1.746139418,-1.850620989,-1.138141772,0.478457963,-1.507640159,-0.319964642,-0.498510838,0.050396825
3.176,1.595,,0,0.457775478,0.622782656,-0.826605761,1.745553787,0.931610405,2.289688004,0.483710735,0.12750128,0.507538399,0.707456356,0.930110555,0.724635827,-0.382145948,0.630218329,0.578113908,0.046854968,0.042486605,0.239602594,0.064780233,-0.330460051,-1.071252743,1.647472417,0.093865627,-0.397000626,1.493061366,0.25374663,2.610980439,1.216459005,1.039691801,0.411288651,-0.2826257,-2.248868113,1.123523504,0.077551214,-0.202609775,0.380999695,1.81771355,0.36364744,0.298804198,1.182612456,1.455858976,-0.017430365,1.620283156,-0.323923496,1.347042956,0.615133022,-0.328502931,1.478586211,-0.588713137,0.011028225,1.260728887,-0.340683342,-0.300996344,0.559452592,0.939738773,2.152641034,1.603359578,1.464444807,0.543974941,1.695070266,-0.619842665,0.602923202,1.742617481,0.076888816,0.18972164,-0.078549398,-1.501400173,-0.225889874,1.976188465,0.745820499,-0.131988103,2.001052087,-0.8590889,-0.307568848,-0.307916396,1.413676587,1.16155969,0.42009588,-0.536149226,0.305598501,0.007249378,-0.831276574,-0.383374291,1.12926498,1.57214018,1.211765865,-0.921640235,0.748509073,0.305176277,-0.052379239,0.126550009,2.15208316,0.908723696,-0.588996466,2.218188985,0.104420804,1.532125235,-0.816111724,1.825172592,0.525905224,0.625685849,1.932730119
1.502,0.33,0.33,1,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33
-3.227,-0.82,,0,-0.90787612,-1.658705044,-2.419982323,-0.0567391,-0.849673604,-0.862480529,-2.662150375,-0.559465879,-0.366669905,-1.353634454,-2.362408143,-0.341482395,-1.49118401,-3.852282219,-1.879166948,-1.347658299,-0.998436014,-0.450141448,-2.129970141,0.24255211,-1.881732627,-0.391898395,0.397873427,-1.228844058,-0.742751694,-1.672238622,-0.660770153,0.265209157,0.482451856,0.084411157,-1.565134179,-1.240694015,-1.504401278,-1.544048291,-2.167886601,-2.39423041,0.405813142,0.044406307,-1.301467267,-0.100794705,-0.654373819,-0.868786105,-1.695795833,-1.946419768,-0.821591096,0.327813574,-0.009147554,-1.332576704,-0.29613194,-0.47256553,-1.767080146,-0.971035732,-1.474730371,-1.634014381,-1.935616206,-1.684891773,0.125216486,-1.39967959,-2.584310211,-2.281050556,0.439759684,-2.498753671,-1.35837517,-1.246993529,-2.39351472,-0.010001463,-1.221395413,-0.847243712,-0.451869752,-0.611888771,-0.913579907,-0.212010613,-0.035248008,-0.1475748,0.46511313,-0.335790784,-1.742695842,-0.17419027,-2.066358423,-1.119866461,-0.305371098,-1.341420271,-0.079447972,1.208542665,-0.571668859,-1.419004796,-2.190069168,-0.616065054,-0.166763442,-1.437048023,-1.907388817,-1.828663615,0.877473396,-0.442252026,-0.306349868,-1.170244612,-2.102806057,-0.78003282,-1.141347951,-0.210116985,-0.785779573,-0.642276396
3.157,0.487,,0,0.453723099,1.88711462,1.052643593,1.880453875,-2.028459275,0.641140345,-0.282718221,1.418536068,0.285261713,-0.216041424,0.410292523,-0.738126824,1.712247937,0.494430483,1.880807465,0.949867632,1.180446711,1.68542603,0.602896074,0.914781748,1.370342725,1.517175965,0.497006148,2.002249716,0.29643675,-0.222778917,2.288261386,-0.043424985,1.947577016,-0.688876878,0.654939148,1.30497822,-0.524997601,0.979219838,1.731456506,0.805048393,1.122201346,3.119451462,-0.185153913,1.447978565,-0.298525262,-0.063422642,0.370829191,-0.627046318,-0.726863513,2.212775858,-1.222508957,1.625295691,1.562326796,0.587957975,-1.185423133,0.983888855,0.917717454,-0.142722612,1.18847774,0.27073436,-0.12719047,0.242187936,0.102221141,1.134010522,0.852703826,-0.942654879,-0.171868098,-0.311369346,-0.410228398,-0.198848533,-0.115844979,0.314555047,-0.314695971,-1.820169483,-0.463194669,0.464441173,-0.458217526,-0.205533095,1.556533384,0.544432675,-0.810268358,0.639564225,1.508258645,0.278399306,0.915099347,0.425608359,0.601792454,1.299049895,1.626023605,0.748307652,1.732469869,-1.121916382,-0.373008907,1.622752174,0.469471854,1.364551601,1.742737237,1.571275583,0.002126594,-0.660168384,-0.710749705,-0.389160509,-0.19619094,1.434912791,2.201130828,-0.10148022
-2.013,0.738,,0,-0.648950454,-0.352881169,-0.999289631,0.343718861,0.042714154,-1.895403629,-1.156810777,-0.916615989,-0.245826221,1.142865222,0.115987326,-0.326197439,-2.081643767,-0.2741435,-1.39493182,0.018791095,-0.29458727,0.132406399,-0.706436986,-1.442333468,-0.543931169,-0.587903616,-1.313016454,-1.296655186,-1.157700201,0.397023586,-0.77052095,-0.088367603,0.311450553,-0.197079816,-0.740331891,-1.754867892,0.871711084,0.586668993,-1.226551618,-1.125772544,0.028509807,-0.676270058,-1.673138598,-0.516954903,0.229685173,-1.466452874,-0.604586067,1.606003426,-0.955795163,-0.159337427,0.061232103,-0.094505931,0.270813077,-0.383018448,-0.913858767,-3.041601207,-0.06020179,-0.848176025,-1.302301089,2.477969666,-0.889351642,-1.292858512,-1.150279558,-0.731691758,0.072977308,-0.645113108,-1.668951156,0.064898687,-0.509077603,-0.051031992,-1.245550129,1.197328593,-0.176662603,-1.102193628,-0.255125538,-0.95038107,-3.008499247,-1.733019997,-0.285727756,-1.515936867,0.505992319,0.244088779,-0.643170242,-1.389929179,-0.919753889,-0.656978815,-1.042211264,-0.861430753,-0.801168883,-1.457472259,-0.980072187,-0.785872416,-0.74802316,0.006607792,-2.778591521,0.214548375,-0.578823799,-0.406496284,-2.677826811,-2.426172521,-1.819815856,-0.32692824,-1.13854354,0.537674732,0.381447581,-0.765612947
-0.86,0.576,,0,-0.403035056,-1.140242213,1.286141144,0.159801779,-0.973673933,-0.626435585,-1.074837748,-0.194127859,-0.406294771,-0.919157577,-1.487893274,-0.598090365,-0.49446236,-0.952245825,-0.593726359,-0.935464316,1.318557028,-0.68218634,-1.322199211,-1.221707648,0.589540085,0.967644644,0.714345817,0.718706486,0.940425747,-0.590493146,-1.237929989,-0.467010152,-3.2161654,-0.508769654,-0.703369387,-0.325461164,-0.573782352,-1.134552354,-0.870190702,-0.769292702,-0.584458846,0.823675306,0.658728726,-0.398788607,1.799058025,-0.628215193,-1.637199842,-0.641051716,-0.357379197,-1.39826467,0.376435339,-0.007219598,0.116353773,0.09571953,-0.537347001,0.878699057,-1.141427139,-1.765726365,1.832983436,-1.138247514,-1.605305108,-0.552111973,1.03232601,-1.149629108,-1.260507409,-0.789697006,0.714677397,-0.615647607,-0.680335522,0.791452005,-0.606392484,0.887475098,-0.818975549,-0.09386126,0.415471319,-1.077521125,-0.584607284,-0.421596389,-1.566174689,-0.63763571,-0.127447567,-0.629222166,-1.37642528,0.266896155,0.01981121,0.797647702,-2.293183898,-1.192308704,0.528075691,-1.609661893,-0.862078763,-1.229429304,-0.388909099,0.419591115,0.580760117,-0.816764383,-0.688153092,-0.52006511,-0.031397579,-0.514802954,-0.160324386,-0.941072104,-1.454545252,-0.716080407,-1.984011467,-0.213006548
2.661,-0.305,-0.305,1,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305,-0.305
